      YEAR,MONTH          ,LINE                   ,     COUNT,     TOTAL,PERCENTAGE
----------,---------------,-----------------------,----------,----------,----------
2017,APRIL          ,Atlantic City Rail Line,675,719,93.9
2017,AUGUST         ,Atlantic City Rail Line,635,744,85.3
2017,DECEMBER       ,Atlantic City Rail Line,671,745,90.1
2017,FEBRUARY       ,Atlantic City Rail Line,621,672,92.4
2017,JANUARY        ,Atlantic City Rail Line,672,743,90.4
2017,JULY           ,Atlantic City Rail Line,563,744,75.7
2017,JUNE           ,Atlantic City Rail Line,649,720,90.1
2017,MARCH          ,Atlantic City Rail Line,704,742,94.9
2017,MAY            ,Atlantic City Rail Line,671,743,90.3
2017,NOVEMBER       ,Atlantic City Rail Line,676,720,93.9
2017,OCTOBER        ,Atlantic City Rail Line,703,743,94.6
2017,SEPTEMBER      ,Atlantic City Rail Line,669,721,92.8
2018,APRIL          ,Atlantic City Rail Line,674,719,93.7
2018,AUGUST         ,Atlantic City Rail Line,645,744,86.7
2018,FEBRUARY       ,Atlantic City Rail Line,608,674,90.2
2018,JANUARY        ,Atlantic City Rail Line,618,743,83.2
2018,JULY           ,Atlantic City Rail Line,688,743,92.6
2018,JUNE           ,Atlantic City Rail Line,627,721,87
2018,MARCH          ,Atlantic City Rail Line,615,745,82.6
2018,MAY            ,Atlantic City Rail Line,677,744,91
2018,SEPTEMBER      ,Atlantic City Rail Line,70,97,72.2
2019,AUGUST         ,Atlantic City Rail Line,685,746,91.8
2019,DECEMBER       ,Atlantic City Rail Line,695,744,93.4
2019,JULY           ,Atlantic City Rail Line,580,743,78.1
2019,JUNE           ,Atlantic City Rail Line,577,720,80.1
2019,MAY            ,Atlantic City Rail Line,410,479,85.6
2019,NOVEMBER       ,Atlantic City Rail Line,656,720,91.1
2019,OCTOBER        ,Atlantic City Rail Line,678,744,91.1
2019,SEPTEMBER      ,Atlantic City Rail Line,676,720,93.9
2020,APRIL          ,Atlantic City Rail Line,694,748,92.8
2020,AUGUST         ,Atlantic City Rail Line,647,744,87
2020,DECEMBER       ,Atlantic City Rail Line,715,804,88.9
2020,FEBRUARY       ,Atlantic City Rail Line,663,696,95.3
2020,JANUARY        ,Atlantic City Rail Line,706,744,94.9
2020,JULY           ,Atlantic City Rail Line,686,744,92.2
2020,JUNE           ,Atlantic City Rail Line,667,750,88.9
2020,MARCH          ,Atlantic City Rail Line,700,744,94.1
2020,MAY            ,Atlantic City Rail Line,702,784,89.5
2020,NOVEMBER       ,Atlantic City Rail Line,721,814,88.6
2020,OCTOBER        ,Atlantic City Rail Line,780,854,91.3
2020,SEPTEMBER      ,Atlantic City Rail Line,708,785,90.2
2021,APRIL          ,Atlantic City Rail Line,655,720,91
2021,AUGUST         ,Atlantic City Rail Line,656,746,87.9
2021,DECEMBER       ,Atlantic City Rail Line,695,744,93.4
